Collection Source Name,Color,Behr_ID,LRV,R,G,B,One_liner,Short_description,Undertone_raw,Undertone,Coordinated_Palette_1,Coordinated_Palette_2,Coordinated_Palette_3,Coordinated_Palette_URL,Trim_Crisp,Trim Crisp (Lower Case),Trim_Warm,Family,Temp,Undertone_notes,Hex,Saturation,Chroma,Style Tag 1,Style Tag 2,Style Tag 3,Style Tag 4,Style Tag 5,Risk_tags,URL,
BEHR® 2026 Color Trends Palette,Rumors,MQ1-15,10,123,53,60,Red color family,Rumors is a luxurious ruby red that adds warmth and rich allure.,warm (earthy red),Deep red with earthy brown undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Red,Warm,"red, brown, earth",#7B353C,0.398,,Moody,Warm,Dramatic,Sophisticated,Bold,red_shift|brown_shift,,
BEHR® 2026 Color Trends Palette,Smoked Tan,HDC-NT-14,38,174,164,148,Neutral color family,"Balancing between gray and beige, Smoked Tan creates a quiet and harmonious background.",warm (taupe),Smoky beige with taupe and gray undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Neutral,Warm,"beige, taupe, gray",#AEA494,0.088,,Warm,Cozy,Earthy,Sophisticated,Classic,beige_shift|gray_shift,,
BEHR® 2026 Color Trends Palette,Beehive,M270-5,52,225,183,129,Yellow color family,"Beehive is a clear, sweet golden-yellow that fills a space with gracious cheer.",warm (gold/amber),Golden yellow with amber and ochre undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Yellow,Warm,"yellow, gold, amber",#E1B781,0.427,,Warm,Inviting,Bold,Earthy,Fresh,yellow_shift|orange_shift,,
BEHR® 2026 Color Trends Palette,Urban Nature,S380-3,34,144,147,117,Green color family,Urban Nature is a soothing mid-tone green with soft olive notes.,warm (olive),Earthy green with warm olive and brown undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Green,Warm,"green, olive, brown",#909375,0.113,,Neutral,Organic,Earthy,Calm,Sophisticated,green_shift|yellow_shift|brown_shift,https://www.behr.com/consumer/ColorDetailView/S380-3,
BEHR® 2026 Color Trends Palette,Nocturne Blue,HDC-CL-28,5,35,66,79,Blue color family,Nocturne Blue is the deep sky color that stargazers wait for as the world transitions from day to nightfall.,cool (navy/teal),Deep navy with teal and slight black undertones.,,,,,FROST (57),frost (57),POLAR BEAR (75),Blue,Cool,"blue, green, black",#23424F,0.386,,Moody,Cool,Dramatic,Sophisticated,Classic,blue_shift|black_shift,,
BEHR® 2026 Color Trends Palette,Curtain Call,N570-5,14,112,102,106,Gray color family,Curtain Call is a velvety plush plum-gray.,cool (plum/gray),Dark gray with distinct purple/plum undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Gray,Cool,"purple, gray, plum",#70666A,0.057,,Moody,Dramatic,Modern,Sophisticated,Crisp,purple_shift|gray_shift,https://www.behr.com/consumer/ColorDetailView/N570-5,
BEHR® 2026 Color Trends Palette,Baronial Brown,N170-7,7,90,72,64,Brown color family,Baronial Brown is a deep,warm (espresso),Deep brown with red and espresso undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Brown,Warm,"brown, red, espresso",#5A4840,,,Moody,Warm,Earthy,Sophisticated,Classic,moody|classic_cozy,,
BEHR® 2026 Color Trends Palette,Rodeo Tan,N240-5,28,167,139,116,Neutral color family,Rodeo Tan is a warm beige with a subtle gray undertone.,warm (beige),Warm beige with earthy gray undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Neutral,Warm,"beige, gray",#A78B74,0.18,,Warm,Earthy,Inviting,Classic,Cozy,beige_shift|gray_shift,https://www.behr.com/consumer/ColorDetailView/N240-5,
BEHR® 2026 Color Trends Palette,Ecological,S380-6,22,128,131,103,Green color family,Ecological is a restorative earthy green with olive notes.,warm (olive/brown),Earthy green with olive and brown undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Green,Warm,"green, olive, brown",#808367,0.12,,Organic,Earthy,Calm,Fresh,Cool,green_shift|brown_shift|yellow_shift,https://www.behr.com/consumer/ColorDetailView/S380-6,
BEHR® 2026 Color Trends Palette,Cracked Pepper,PPU18-01,8,79,81,82,Black color family,Cracked Pepper is a soft black with blue-gray undertones.,cool (blue/violet),Soft black with blue and occasional violet undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Black,Cool,"black, blue, violet",#4F5152,0.018,,Moody,Crisp,Modern,Sophisticated,Dramatic,blue_shift|purple_shift|black_shift,https://www.behr.com/consumer/ColorDetailView/PPU18-01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW Colormix 2026,Modern Lavender,SW 9688,40,168,170,179,Purple color family,A soothing take on a best-loved purple with a clarifying contemporary twist.,cool (gray),Cool lavender with gray undertones.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Purple,Cool,"purple, gray, blue",#A8AAB3,0.06,,Soft,Cool,Serene,Modern,Sophisticated,purple_shift|blue_shift,https://www.sherwin-williams.com/en-us/color/color-family/purple-paint-colors/SW9688-modern-lavender,
SW Colormix 2026,Grape Mist,SW 6548,54,196,193,205,Purple color family,A soft romantic purple with a subtle gray undertone.,cool (gray),Soft purple with gray undertones.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Purple,Cool,"purple, gray",#C4C1CD,0.06,,Soft,Cool,Calm,Sophisticated,Classic,purple_shift|gray_shift,https://www.sherwin-williams.com/en-us/color/color-family/purple-paint-colors/SW6548-grape-mist,
SW Colormix 2026,Lite Lavender,SW 6554,71,228,221,229,Purple color family,A dusty warm violet shade that feels airy and light.,cool (violet),Pale violet with a dusty cast.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Purple,Cool,"purple, violet, gray",#E4DDE5,0.04,,Airy,Soft,Cool,Serene,Clean,purple_shift|can_look_white,https://www.sherwin-williams.com/en-us/color/color-family/purple-paint-colors/SW6554-lite-lavender,
SW Colormix 2026,Solitude,SW 6535,38,154,166,177,Blue color family,A calm and quiet blue like the first light of day.,cool (gray/violet),Cool blue with a gray and violet undertone.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Blue,Cool,"blue, gray, violet",#9AA6B1,0.13,,Airy,Cool,Calm,Serene,Clean,blue_shift|purple_shift,https://www.sherwin-williams.com/en-us/color/color-family/blue-paint-colors/SW6535-solitude,
SW Colormix 2026,Upward,SW 6239,57,191,201,208,Blue color family,A breezy blissful blue that captures the essence of a sunny day.,cool (gray),Denim blue with strong gray undertones.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Blue,Cool,"blue, gray",#BFC9D0,0.09,,Airy,Cool,Fresh,Clean,Modern,blue_shift|gray_shift,https://www.sherwin-williams.com/en-us/color/color-family/blue-paint-colors/SW6239-upward,
SW Colormix 2026,Breathtaking,SW 6814,63,198,217,218,Blue color family,Awe-inspiring and hushed dreamlike hue where gauzy blue meets smoky purple.,cool (purple),Pale blue with a smoky purple influence.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Blue,Cool,"blue, purple, gray",#C6D9DA,0.09,,Cool,Fresh,Serene,Clean,Sophisticated,blue_shift|purple_shift,https://www.sherwin-williams.com/en-us/color/color-family/blue-paint-colors/SW6814-breathtaking,
SW Colormix 2026,Tradewind,SW 6218,61,194,207,207,Blue color family,Bask in the breezy nature of this mellow marine blue.,cool (green/gray),Mellow blue with green undercurrents and gray calming notes.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Blue,Cool,"blue, green, gray",#C2CFCF,0.07,,Cool,Neutral,Calm,Clean,Classic,green_shift|blue_shift,https://www.sherwin-williams.com/en-us/color/color-family/blue-paint-colors/SW6218-tradewind,
SW Colormix 2026,Watery,SW 6478,57,178,206,204,Blue color family,A liquid blue-green that feels like a tropical lagoon.,cool (aqua),Bright aqua with a softened gray edge.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Blue,Cool,"blue, green, aqua",#B2CECC,0.14,,Airy,Cool,Fresh,Serene,Soft,green_shift|blue_shift,https://www.sherwin-williams.com/en-us/color/color-family/blue-paint-colors/SW6478-watery,
SW Colormix 2026,Halcyon Green,SW 6213,39,146,158,149,Green color family,A calm and restful green with a dusty slate quality.,warm (slate),Muted green with heavy slate/gray undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Green,Warm,"green, gray, slate",#929E95,0.08,,Cool,Calm,Organic,Serene,Sophisticated,green_shift|gray_shift,https://www.sherwin-williams.com/en-us/color/color-family/green-paint-colors/SW6213-halcyon-green,
SW Colormix 2026,Coral Island,SW 6332,36,206,147,130,Orange color family,A richly welcoming soft orange-red evoking sun-kissed petals.,warm (pink),Earthy coral with pink and orange tones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Orange,Warm,"orange, pink, red",#CE9382,0.37,,Warm,Fresh,Inviting,Bold,Modern,pink_shift|orange_shift,https://www.sherwin-williams.com/en-us/color/color-family/orange-paint-colors/SW6332-coral-island,
SW Colormix 2026,Sundew,SW 7688,63,227,204,171,Yellow color family,Calm and quiet like the first light of day.,warm (ochre),Muted yellow with earthy ochre undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Yellow,Warm,"yellow, ochre, gold",#E3CCAB,0.25,,Warm,Airy,Soft,Fresh,Inviting,yellow_shift|orange_shift,https://www.sherwin-williams.com/en-us/color/color-family/yellow-paint-colors/SW7688-sundew,
SW Colormix 2026,Henna Shade,SW 6326,20,166,108,94,Red color family,A terracotta-inspired color that warms and livens space.,warm (brown),Earthy red with strong brown/terracotta notes.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Red,Warm,"red, brown, orange",#A66C5E,0.43,,Warm,Earthy,Bold,Inviting,Organic,red_shift|orange_shift|brown_shift,https://www.sherwin-williams.com/en-us/color/color-family/red-paint-colors/SW6326-henna-shade,
SW Colormix 2026,Sable,SW 6083,8,95,75,63,Brown color family,A deep and sturdy brown that feels grounded and reassuring.,warm (red/orange),Dark brown with warm russet undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Brown,Warm,"brown, red, orange",#5F4B3F,0.2,,Moody,Warm,Sophisticated,Classic,Earthy,red_shift|orange_shift,https://www.sherwin-williams.com/en-us/color/color-family/brown-paint-colors/SW6083-sable,
SW Colormix 2026,Rojo Marrón,SW 9182,4,75,48,41,Red color family,A deep and rich Spanish red-brown that creates instant drama.,warm (brown),Deep red with heavy brown/earthy undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Red,Warm,"red, brown, earth",#4B3029,0.29,,Warm,Bold,Dramatic,Sophisticated,Earthy,brown_shift|red_shift,https://www.sherwin-williams.com/en-us/color/color-family/red-paint-colors/SW9182-rojo-marron,
SW Colormix 2026,Roycroft Copper Red,SW 2839,7,123,55,40,Red color family,A historic Arts & Crafts red with a distinct copper flare.,warm (copper),Earthy red with strong copper and orange notes.,,,,,High Reflective White (SW 7757),,Creamy (SW 7012),Red,Warm,"red, orange, copper",#7B3728,0.5,,Warm,Bold,Classic,Sophisticated,Inviting,orange_shift|rust_shift,https://www.sherwin-williams.com/en-us/color/color-family/red-paint-colors/SW2839-roycroft-copper-red,
SW Colormix 2026,Limestone,SW 9599,13,106,101,92,Neutral color family,A deep,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/SW9599-limestone,warm (green/gray),,,,- Universal Khaki (SW 6150)\n- White Snow (SW 9541),,,High Reflective White (SW 7757),Alabaster (SW 7008),Neutral,Warm,#6A655C,,,Neutral,Soft,Clean,Classic,Earthy,organic|classic_cozy,warm stone gray that feels organic and solid.,Family: Neutral • Undertone: Warm Olive Gray • Depth: Very Deep (LRV 13) • Watch: Green Shift
SW Colormix 2026,Relic Bronze,SW 6132,17,144,106,58,Yellow color family,An antique bronze gold that feels collected and curated.,warm (brown/gold),Deep gold with heavy brown and green undertones.,,,,,High Reflective White (SW 7757),,Creamy (SW 7012),Yellow,Warm,"gold, brown, green",#906A3A,0.4,,Warm,Earthy,Sophisticated,Classic,Moody,green_shift|brown_shift,https://www.sherwin-williams.com/en-us/color/color-family/yellow-paint-colors/SW6132-relic-bronze,
SW Colormix 2026,Dark Auburn,SW 6034,5,90,53,50,Red color family,A blackened red that sits comfortably between burgundy and brown.,warm (purple/brown),Dark red with purple and brown undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Red,Warm,"red, purple, brown",#5A3532,0.28,,Warm,Moody,Bold,Sophisticated,Earthy,purple_shift|brown_shift,https://www.sherwin-williams.com/en-us/color/color-family/red-paint-colors/SW6034-dark-auburn,
SW Colormix 2026,Garden Gate,SW 6167,10,94,89,73,Green color family,A fresh yet deep botanical green perfect for bringing the outside in.,warm (yellow),Deep olive green with warm yellow undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Green,Warm,"green, yellow, olive",#5E5949,0.12,,Cool,Neutral,Calm,Modern,Sophisticated,yellow_shift|brown_shift,https://www.sherwin-williams.com/en-us/color/color-family/green-paint-colors/SW6167-garden-gate,
SW Colormix 2026,Rock Bottom,SW 7062,7,74,78,75,Green color family,A dark and moody green-black that adds instant mystery.,cool (green/gray),Blackened green with cool gray undertones.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Green,Cool,"green, black, gray",#4A4E4B,0.03,,Moody,Cool,Dramatic,Sophisticated,Modern,green_shift|black_shift,https://www.sherwin-williams.com/en-us/color/color-family/green-paint-colors/SW7062-rock-bottom,
SW Colormix 2026,Black Bean,SW 6006,4,64,51,48,Brown color family,A decadent warm black with chocolate notes.,warm (red),Black with deep warm red/brown undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Black,Warm,"black, brown, red",#403330,0.14,,Moody,Dramatic,Sophisticated,Bold,Classic,red_shift|brown_shift,https://www.sherwin-williams.com/en-us/color/color-family/brown-paint-colors/SW6006-black-bean,
SW Colormix 2026,Tarragon,SW 9660,7,66,78,83,Green color family,A deep blue-green that feels oceanic and vast.,cool (blue),Dark teal/green with strong blue undertones.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Green,Cool,"green, blue, teal",#424E53,0.11,,Warm,Organic,Earthy,Calm,Inviting,blue_shift|teal_shift,https://www.sherwin-williams.com/en-us/color/color-family/green-paint-colors/SW9660-tarragon,
SW Colormix 2026,Sea Mariner,SW 9640,7,67,74,84,Blue color family,A commanding navy that anchors any room with confidence.,cool (gray),Deep navy with cool gray undertones.,,,,,High Reflective White (SW 7757),,Pure White (SW 7005),Blue,Cool,"blue, navy, gray",#434A54,0.11,,Cool,Fresh,Bold,Clean,Modern,blue_shift|black_shift,https://www.sherwin-williams.com/en-us/color/color-family/blue-paint-colors/SW9640-sea-mariner,
SW Colormix 2026,Plum Brown,SW 6272,6,78,66,71,Purple color family,A dramatic blackened purple that feels regal and rare.,warm (red),Dark brown with distinct purple/red undertones.,,,,,High Reflective White (SW 7757),,Alabaster (SW 7008),Purple,Warm,"purple, brown, red",#4E4247,0.08,,Moody,Warm,Sophisticated,Bold,Dramatic,purple_shift|brown_shift,https://www.sherwin-williams.com/en-us/color/color-family/purple-paint-colors/SW6272-plum-brown,
SW Colormix 2026,White Snow,SW 9541,90,245,244,238,White color family,A pristine and bright white with a very subtle warmth.,warm (yellow),Bright white with faint yellow/creamy undertones.,,,,,High Reflective White (SW 7757),,High Reflective White (SW 7757),White,Warm,"white, yellow",#F5F,,,Airy,Crisp,Clean,Neutral,Modern,,https://www.sherwin-williams.com/en-us/color/color-family/white-paint-colors/SW9541-white-snow,
Collection Source Name,Color,Behr_ID,LRV,R,G,B,One_liner,Short_description,Undertone_raw,Undertone,Coordinated_Palette,,,Coordinated_Palette_URL,Trim_Crisp,,Trim_Warm,Family,Temp,Undertone_notes,Hex,Saturation,Chroma,,,,,,Risk_tags,URL,
Valspar 2026 Color Trends,Warm Eucalyptus,8004-28F,21,124,127,112,Valspar 2026 Color of the Year,A muted cool neutral with a green undertone that feels naturally restorative.,Cool Green (Gray),Green,,,,,High Hide White,,Dove White,Green,Cool,Muted olive-green with gray cast,#7C7F70,0.06,,Warm,Organic,Calm,Sophisticated,Inviting,,https://www.valspar.com/en/colors/color-of-the-year-2026,
Valspar 2026 Color Trends,Degas Blue,8004-35B,56,185,200,201,Coordinating Trend Color,A breezy blue with gray and green undertones that has a soothing lightness.,Cool Teal (Gray),Blue-Green,,,,,Ultra White,,Bistro White,Blue-Green,Cool,Cyan-blue with significant gray,#B9C8C9,0.14,,Cool,Classic,Sophisticated,Calm,Serene,,https://www.valspar.com/en/colors/teal/degas-blue-8004-35b,
Valspar 2026 Color Trends,Groundbreaking,8005-8F,16,120,108,94,Coordinating Trend Color,A medium brown shade with a cool undertone inspired by natural materials.,Cool Brown,Brown,,,,,High Hide White,,Dove White,Brown,Warm,Brown with cool violet/gray undertones,#786C5E,0.12,,Moody,Neutral,Modern,Sophisticated,Dramatic,,https://www.valspar.com/en/colors/brown/groundbreaking-8005-8f,
Glidden 2026 Color Trends,Warm Mahogany,PPG1060-7,7,109,71,65,Glidden 2026 Color of the Year,A rich grounded red that is bold enough to draw attention yet reserved enough to be timeless.,Warm Red (Brown),Red,,,,,Delicate White,,Almond Cream,Red,Warm,Deep red with brown/earth undertones,#6D4741,0.25,,Warm,Earthy,Sophisticated,Bold,Classic,,https://www.glidden.com/2026-color-trends,
Glidden 2026 Color Trends,Toffee Crunch,PPG1207-4,62,239,200,156,Trending Neutral,A midtone bright sun-soaked yellow with a dandelion undertone.,Warm Yellow,Yellow,,,,,Delicate White,,Candlelit Beige,Yellow,Warm,Sunny yellow with dandelion/gold notes,#EFC89C,0.71,,Warm,Cozy,Inviting,Soft,Earthy,,https://www.ppgpaints.com/color/color-families/yellows/toffee-crunch,
Glidden 2026 Color Trends,Sandy Beach,PPG1072-2,72,234,218,208,Trending Neutral,A light shaded taupe orange with a pink undertone.,Warm Taupe (Pink),Orange/Neutral,,,,,Delicate White,,Almond Cream,Orange,Warm,Taupe-orange with pink undertones,#EADAD0,0.33,,Warm,Airy,Soft,Classic,Inviting,,https://www.ppgpaints.com/color/color-families/oranges/sandy-beach,
Glidden 2026 Color Trends,Copper Beech,PPG1067-5,19,172,106,83,Trending Earth Tone,A saturated subdued teddy bear orange with a taupe undertone.,Warm Orange (Taupe),Orange,,,,,Delicate White,,Heavy Cream,Orange,Warm,"""Teddy bear"" orange with taupe/brown",#AC6A53,0.34,,Warm,Earthy,Bold,Sophisticated,Inviting,,https://www.ppgpaints.com/color/color-families/oranges/copper-beech,
Glidden 2026 Color Trends,Smoky Slate,PPG1028-4,34,161,161,143,Trending Neutral,A midtone gray camo yellow with an olive undertone.,Warm Olive (Gray),Green/Neutral,,,,,Delicate White,,Moth Gray,Green-Neutral,Warm,Gray-yellow with distinct olive notes,#A1A18F,0.09,,Cool,Moody,Sophisticated,Modern,Dramatic,,https://www.ppgpaints.com/color/color-families/neutrals/smoky-slate,
Glidden 2026 Color Trends,Oakwood Brown,PPG1054-6,17,138,108,105,Trending Earth Tone,A deep neutral rusty red with a chocolate undertone.,Warm Red (Brown),Red/Brown,,,,,Delicate White,,Winter Wedding,Red-Brown,Warm,Rusty red with strong chocolate base,#8A6C69,0.12,,Warm,Earthy,Classic,Cozy,Sophisticated,,https://www.ppgpaints.com/color/color-families/reds/oakwood-brown,
Glidden 2026 Color Trends,Aqua Smoke,PPG1034-5,33,140,159,160,Trending Cool Tone,A saturated neutral Caribbean aqua with a turquoise undertone.,Cool Aqua,Blue-Green,,,,,Delicate White,,Morning Song,Blue-Green,Cool,Caribbean aqua with gray wash,#8C9FA0,0.1,,Cool,Soft,Serene,Organic,Sophisticated,,https://www.ppgpaints.com/color/color-families/neutrals/aqua-smoke,
Glidden 2026 Color Trends,Momentum,PPG1028-6,16,116,111,92,Trending Earth Tone,A deep gray camo yellow with an olive undertone perfect for statement walls.,Warm Olive,Green/Neutral,,,,,Delicate White,,Black Magic,Green-Neutral,Warm,Deep olive/camo yellow,#746F5C,0.12,,Modern,Bold,Sophisticated,Dramatic,Clean,,https://www.ppgpaints.com/color/color-families/neutrals/momentum,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Moore 2026,Silhouette,AF-655,8,88,81,77,2026 Color of the Year,A sultry deep charcoal-brown with a hidden layer of purple.,Warm Purple (Brown/Gray),,,,,,Swiss Coffee,,,Brown,Warm,Velvety charcoal with distinct purple undertones,#58514D,0.07,,Moody,Sophisticated,Modern,Dramatic,Neutral,purple_shift|darkens_room,https://www.benjaminmoore.com/en-us/paint-colors/color/af-655/silhouette,
Benjamin Moore 2026,First Crush,CSP-310,72,232,220,206,Trending Neutral,A tender white with a hint of blush that feels like a soft embrace.,Warm Pink (Taupe),,,,,,Swiss Coffee,,,White/Neutral,Warm,Warm white with subtle pink/peach blush,#E8DCCE,0.36,,Warm,Soft,Inviting,Bold,Modern,pink_shift|looks_white,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-310/first-crush,
Benjamin Moore 2026,Raindance,1572,43,169,179,170,Trending Cool Tone,A relaxed hazy blue-green that mimics the color of sea glass.,Cool Gray (Green),,,,,,Swiss Coffee,,,Green,Cool,Muted blue-green with a strong gray cast,#A9B3AA,0.06,,Cool,Calm,Serene,Soft,Fresh,green_shift|gray_shift,https://www.benjaminmoore.com/en-us/paint-colors/color/1572/raindance,
Benjamin Moore 2026,Narragansett Green,HC-157,9,68,82,86,Trending Dark Tone,A historic blackened teal that anchors a room with confidence.,Cool Blue (Black),,,,,,Swiss Coffee,,,Green,Cool,Deep teal blackened by gray/navy notes,#445256,0.12,,Cool,Moody,Sophisticated,Classic,Organic,blue_shift|black_shift,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-157/narragansett-green,
Benjamin Moore 2026,Southwest Pottery,48,17,149,94,87,Trending Earth Tone,A sun-baked terracotta red that captures the warmth of clay.,Warm Red (Brown),,,,,,Swiss Coffee,,,Red,Warm,Earthy red-orange with brown grounding,#955E57,0.26,,Warm,Earthy,Organic,Bold,Inviting,red_shift|orange_shift,https://www.benjaminmoore.com/en-us/paint-colors/color/048/southwest-pottery,
